StationID,Latitude,Longitude,Title,TotalCapacity_kW,StationType,Bands,label,top_score,n_pois_in_radius,huff_score_work,huff_score_education,huff_score_shopping,huff_score_personal_business,huff_score_social,huff_score_leisure,huff_score_holiday
65855,51.4615221357197,-0.926279429686021,,195.0,Fast site,Fast (8–49kW);Slow (3–8kW),work,0.0976,38,0.0976,0.0,0.004,0.0025,0.0,0.0173,0.0
259014,52.470572,-1.54607,,192.0,Fast site,Fast (8–49kW),shopping,0.0481,26,0.0167,0.0,0.0481,0.0342,0.0,0.0099,0.0399
169802,51.764775,-0.215488,,189.0,Fast site,Slow (3–8kW),work,0.1157,130,0.1157,0.0052,0.0423,0.0155,0.0144,0.0309,0.0
259004,52.452319,-1.731253,,187.0,Fast site,Fast (8–49kW);Rapid (50–149kW),holiday,0.0579,90,0.0119,0.0,0.0529,0.0268,0.0139,0.0315,0.0579
259013,53.31516,-1.282853,,182.0,Fast site,Fast (8–49kW),shopping,0.0802,32,0.0,0.0,0.0802,0.063,0.0,0.0529,0.0022
258944,53.567995,-2.232203,,182.0,Fast site,Fast (8–49kW),shopping,0.1388,25,0.0,0.0,0.1388,0.0878,0.0,0.0056,0.0147
258916,52.08378,-0.74814,,182.0,Fast site,Fast (8–49kW),personal_business,0.05,22,0.0,0.0,0.013,0.05,0.0008,0.0115,0.0019
258901,53.315831,-1.281597,,182.0,Fast site,Fast (8–49kW),leisure,0.1166,32,0.0,0.0,0.0558,0.0477,0.0,0.1166,0.0016
258868,52.994315,-2.290308,,182.0,Fast site,Fast (8–49kW),leisure,0.1695,17,0.0,0.0,0.0498,0.0553,0.0,0.1695,0.0
188045,53.465209,-2.934406,,182.0,Fast site,Slow (3–8kW),leisure,0.0758,54,0.0026,0.002,0.0005,0.0303,0.0026,0.0758,0.0
175471,51.52449992931548,-0.718860198698053,,182.0,Fast site,Slow (3–8kW),shopping,0.2558,405,0.1865,0.0021,0.2558,0.0807,0.0262,0.0586,0.0036
107654,53.2278774290065,-2.8850441292343,,182.0,Fast site,Slow (3–8kW),leisure,0.0833,84,0.0,0.0,0.0125,0.0134,0.0,0.0833,0.0
75496,51.470027,-0.452521,,182.0,Fast site,Slow (3–8kW),leisure,0.0876,150,0.0171,0.0,0.0703,0.0275,0.0106,0.0876,0.0117
470664,55.00561267210057,-7.324701032553548,,176.0,Fast site,Fast (8–49kW),education,0.1431,111,0.0356,0.1431,0.0032,0.0036,0.0057,0.0819,0.0004
300677,51.75505564122571,-1.2597127000284445,,176.0,Fast site,Fast (8–49kW),education,0.6226,1299,0.1223,0.6226,0.3186,0.2818,0.0781,0.3289,0.1576
286997,52.5705,1.1119,,176.0,Fast site,Fast (8–49kW),shopping,0.6937,154,0.2353,0.0028,0.6937,0.1597,0.1649,0.0247,0.032
279978,51.93743611919498,1.2824971953971271,,176.0,Fast site,Fast (8–49kW),shopping,0.3841,160,0.0684,0.0027,0.3841,0.0235,0.0026,0.0736,0.01
279148,51.50783246,0.037983805,,176.0,Fast site,Fast (8–49kW),leisure,0.1014,63,0.0223,0.0065,0.002,0.0036,0.0078,0.1014,0.0418
279067,50.630892,-2.462162,,176.0,Fast site,Fast (8–49kW),shopping,0.069,42,0.0072,0.0016,0.069,0.0108,0.0077,0.0362,0.0009
255618,54.595833,-5.937272,,176.0,Fast site,Fast (8–49kW),work,0.1845,353,0.1845,0.034,0.0666,0.0625,0.0199,0.0307,0.0233
235499,51.27454233133653,-1.102684008288179,,176.0,Fast site,Fast (8–49kW),shopping,0.0801,68,0.0545,0.0037,0.0801,0.0044,0.0011,0.0291,0.0
214791,54.507107,-6.053091,,176.0,Fast site,Fast (8–49kW),leisure,0.1997,87,0.0053,0.0052,0.0108,0.0093,0.0052,0.1997,0.0004
214655,52.726379,-1.382576,,176.0,Fast site,Fast (8–49kW),leisure,0.1928,32,0.0056,0.005,0.0029,0.0,0.0014,0.1928,0.0119
209944,51.6714451180448,-1.2789558163799484,,176.0,Fast site,Fast (8–49kW),shopping,0.0787,174,0.0143,0.0012,0.0787,0.0361,0.016,0.0355,0.0079
204441,53.25288,-1.42872,,176.0,Fast site,Fast (8–49kW),shopping,0.0717,107,0.0475,0.0021,0.0717,0.0102,0.0128,0.0404,0.0009
195177,52.5,-2.13,,176.0,Fast site,Fast (8–49kW),leisure,0.0065,17,0.0,0.003,0.0004,0.0013,0.0055,0.0065,0.0
146495,51.44466970781588,0.3475391549592359,,176.0,Fast site,Fast (8–49kW),work,0.0272,60,0.0272,0.0019,0.0119,0.0025,0.0226,0.0233,0.0
134166,56.1148414954123,-3.93658705522535,,176.0,Fast site,Fast (8–49kW),shopping,0.1218,229,0.0183,0.0014,0.1218,0.0426,0.0109,0.0083,0.012
131626,53.1073,-1.3121,,176.0,Fast site,Fast (8–49kW),shopping,0.1432,51,0.0139,0.0,0.1432,0.0121,0.0006,0.0249,0.0
103233,51.491497,-0.149469,,176.0,Fast site,Fast (8–49kW),work,0.3278,369,0.3278,0.0169,0.19,0.0678,0.0198,0.0463,0.027
100631,52.566113,-2.007402,,176.0,Fast site,Fast (8–49kW),leisure,0.3432,131,0.0042,0.0139,0.1686,0.0407,0.002,0.3432,0.0
73128,53.474721689789845,-2.2966624330467766,,176.0,Fast site,Fast (8–49kW),leisure,0.1257,251,0.0752,0.0325,0.0241,0.014,0.0142,0.1257,0.0026
48651,54.877617,-6.346985,,176.0,Fast site,Fast (8–49kW),leisure,0.0631,27,0.0041,0.0,0.0,0.0,0.0,0.0631,0.0152
19357,51.5754764,0.0899913,,176.0,Fast site,Fast (8–49kW),shopping,0.0242,58,0.0099,0.0094,0.0242,0.0062,0.0032,0.0095,0.0026
19356,51.64155215,0.0551332819181989,,176.0,Fast site,Fast (8–49kW),personal_business,0.3029,90,0.1305,0.0151,0.1386,0.3029,0.0046,0.0396,0.0
195273,52.477447,-1.891589,,172.0,Fast site,Fast (8–49kW);Slow (3–8kW),shopping,0.4975,784,0.1263,0.0499,0.4975,0.1838,0.0497,0.0335,0.0139
90907,52.301276,-0.622344,,172.0,Fast site,Fast (8–49kW);Slow (3–8kW),shopping,0.2263,104,0.0021,0.0,0.2263,0.0246,0.0007,0.0068,0.0
258954,53.13913538,-2.33746566,,171.0,Fast site,Fast (8–49kW),leisure,0.1871,21,0.0028,0.0,0.1098,0.0665,0.0,0.1871,0.0021
258898,51.553404,-0.260249,,171.0,Fast site,Fast (8–49kW),shopping,0.0349,31,0.0076,0.0032,0.0349,0.0251,0.0025,0.0305,0.0
100060,51.485455,-0.638891,,170.0,Fast site,Fast (8–49kW);Slow (3–8kW),work,0.0385,29,0.0385,0.0,0.003,0.0045,0.0009,0.0293,0.0
209848,52.039852610389126,-1.5541145754069807,,168.0,Fast site,Slow (3–8kW),leisure,0.0172,3,0.0,0.0,0.0,0.0,0.0,0.0172,0.0
195301,52.51013362,-1.8118841,,168.0,Fast site,Slow (3–8kW),shopping,0.1083,25,0.0567,0.0019,0.1083,0.0,0.0,0.0074,0.0027
135368,52.27445938674086,-1.5694943549418667,,168.0,Fast site,Slow (3–8kW),leisure,0.031,38,0.0297,0.0029,0.0,0.0,0.0,0.031,0.0
