StationID,Latitude,Longitude,Title,TotalCapacity_kW,StationType,Bands
190,52.862037,-0.629944,,135.0,Fast site,Fast (8–49kW)
191,53.4663273,-2.9311044,,133.0,Fast site,Slow (3–8kW)
192,55.581223033808016,-1.655425493503344,,133.0,Fast site,Fast (8–49kW);Rapid (50–149kW)
193,53.79366417271726,-1.433090900597108,,132.0,Fast site,Fast (8–49kW)
194,54.00603780718254,-1.462133527865376,,132.0,Fast site,Fast (8–49kW)
195,54.35202097600194,-1.4472116405486304,,132.0,Fast site,Fast (8–49kW)
196,54.21326640648098,-1.6753640245952963,,132.0,Fast site,Fast (8–49kW)
197,54.861739057154296,-3.389101544762184,,132.0,Fast site,Fast (8–49kW)
198,52.236943,0.7242619034876157,,132.0,Fast site,Fast (8–49kW)
199,51.108083183162194,-2.4467772767631573,,132.0,Fast site,Fast (8–49kW)
200,50.92457294642958,-1.3200668798360766,,132.0,Fast site,Fast (8–49kW)
201,52.68096232504838,-1.804712961470833,,132.0,Fast site,Fast (8–49kW)
202,53.48119787264733,-2.6262127497231806,,132.0,Fast site,Fast (8–49kW)
203,53.2996235,-2.970902498,,132.0,Fast site,Fast (8–49kW)
204,53.3971607,-2.20062986,,132.0,Fast site,Fast (8–49kW)
205,51.230651002121306,-2.328400144491866,,132.0,Fast site,Fast (8–49kW)
206,51.23277399246837,-2.31986876356774,,132.0,Fast site,Fast (8–49kW)
207,51.55971382430423,-1.7721680723045663,,132.0,Fast site,Fast (8–49kW)
208,52.8008,0.5454,,132.0,Fast site,Fast (8–49kW)
209,52.19,0.9954,,132.0,Fast site,Fast (8–49kW)
210,52.189,0.9956,,132.0,Fast site,Fast (8–49kW)
211,52.1865,0.9987,,132.0,Fast site,Fast (8–49kW)
212,51.73023502423831,-0.3110310817213246,,132.0,Fast site,Fast (8–49kW)
213,54.09109967140057,-0.1788611652817735,,132.0,Fast site,Fast (8–49kW)
214,50.81330671059322,-4.25750536942769,,132.0,Fast site,Fast (8–49kW)
215,51.8668923,-2.206875946,,132.0,Fast site,Fast (8–49kW)
216,51.37272437838376,1.1253056735486662,,132.0,Fast site,Fast (8–49kW)
217,53.16254662546992,-2.6539949413684427,,132.0,Fast site,Fast (8–49kW)
218,51.38579047267572,-2.344342914351647,,132.0,Fast site,Fast (8–49kW)
219,52.5538,-1.73399,,132.0,Fast site,Fast (8–49kW)
220,53.74724,-1.479809,,132.0,Fast site,Fast (8–49kW)
221,55.197227,-6.633203,,132.0,Fast site,Fast (8–49kW)
222,55.012805,-7.313715,,132.0,Fast site,Fast (8–49kW)
223,54.61513637147459,-5.89892167461403,,132.0,Fast site,Fast (8–49kW)
224,54.6130606793281,-5.901966030342209,,132.0,Fast site,Fast (8–49kW)
225,51.23755455476558,-0.5731981484967719,,132.0,Fast site,Fast (8–49kW)
226,51.53653503899187,-0.9054503398690484,,132.0,Fast site,Fast (8–49kW)
227,52.92582659343222,-1.1906245554380348,,132.0,Fast site,Fast (8–49kW)
228,51.55621,-0.777072,,132.0,Fast site,Fast (8–49kW)
229,54.128537153944336,-1.5186495906534674,,132.0,Fast site,Fast (8–49kW)
230,50.8725176060647,0.0,,132.0,Fast site,Fast (8–49kW)
231,52.763211146284505,-1.240324960905923,,132.0,Fast site,Fast (8–49kW)
232,54.100349,-3.231278,,132.0,Fast site,Fast (8–49kW)
233,52.957271,0.849557,,132.0,Fast site,Fast (8–49kW)
234,51.22083619452352,-0.1722401031420304,,132.0,Fast site,Fast (8–49kW)
235,53.40920896206802,-2.9982285749081257,,132.0,Fast site,Fast (8–49kW)
