RowID,StationID,Latitude,Longitude,Capacity_kW,Quantity,Level_OCM,DfT_Level
5477,279611,52.97146216502972,-0.017447279578476582,150.0,1,Level 3:  High (Over 40kW),Ultra-rapid (150kW+)
5478,279611,52.97146216502972,-0.017447279578476582,120.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
5479,279610,52.77938841258842,-1.211916314853596,70.0,8,Level 3:  High (Over 40kW),Rapid (50–149kW)
5480,279610,52.77938841258842,-1.211916314853596,150.0,8,Level 3:  High (Over 40kW),Ultra-rapid (150kW+)
5481,279609,52.24549337288799,-0.812294031050069,75.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
5482,279609,52.24549337288799,-0.812294031050069,75.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
5483,279609,52.24549337288799,-0.812294031050069,75.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
5484,279609,52.24549337288799,-0.812294031050069,75.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
5485,279606,52.24258845658197,-0.8342945560274015,250.0,8,Level 3:  High (Over 40kW),Ultra-rapid (150kW+)
5486,279595,51.64727989763699,-0.44305305872183,22.0,4,Level 2 : Medium (Over 2kW),Fast (8–49kW)
5487,279560,51.237350826838195,-0.32528014550462103,11.0,1,Level 2 : Medium (Over 2kW),Fast (8–49kW)
5488,279560,51.237350826838195,-0.32528014550462103,11.0,1,Level 2 : Medium (Over 2kW),Fast (8–49kW)
5489,279560,51.237350826838195,-0.32528014550462103,11.0,1,Level 2 : Medium (Over 2kW),Fast (8–49kW)
5490,279552,51.7293959583171,-1.249414073683738,22.0,20,Level 2 : Medium (Over 2kW),Fast (8–49kW)
5491,279547,52.08797347224325,-1.9537541389541104,7.0,6,Level 2 : Medium (Over 2kW),Slow (3–8kW)
5492,279534,51.4419344,-0.97093944,22.0,1,Level 2 : Medium (Over 2kW),Fast (8–49kW)
5493,279534,51.4419344,-0.97093944,22.0,1,Level 2 : Medium (Over 2kW),Fast (8–49kW)
5494,279529,53.777799,-2.214943,60.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
5495,279529,53.777799,-2.214943,50.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
5496,279529,53.777799,-2.214943,50.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
5497,279529,53.777799,-2.214943,50.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
5498,279529,53.777799,-2.214943,60.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
5499,279529,53.777799,-2.214943,60.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
5500,279518,57.350586235108636,-1.9454094410727123,22.0,2,Level 2 : Medium (Over 2kW),Fast (8–49kW)
5501,279491,57.69345870413136,-2.0094539300085614,50.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
5502,279491,57.69345870413136,-2.0094539300085614,50.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
5503,279491,57.69345870413136,-2.0094539300085614,43.0,1,Level 3:  High (Over 40kW),Fast (8–49kW)
5504,279491,57.69345870413136,-2.0094539300085614,22.0,2,Level 2 : Medium (Over 2kW),Fast (8–49kW)
5505,279471,57.4772838674067,-4.091461422697989,22.0,2,Level 2 : Medium (Over 2kW),Fast (8–49kW)
5506,279470,57.533563456324146,-4.055889816463036,7.0,10,Level 2 : Medium (Over 2kW),Slow (3–8kW)
5507,279466,50.95221963855292,0.733012855052948,7.4,2,Level 2 : Medium (Over 2kW),Slow (3–8kW)
5508,279465,52.580337645415824,-3.9293241123113205,22.0,4,Level 2 : Medium (Over 2kW),Fast (8–49kW)
5509,279464,54.8853314737347,-1.66730489267565,22.0,2,Level 2 : Medium (Over 2kW),Fast (8–49kW)
5510,279463,52.9811482792779,-2.68213391304016,22.0,4,Level 2 : Medium (Over 2kW),Fast (8–49kW)
5511,279456,50.18198,-5.35246,22.0,2,Level 2 : Medium (Over 2kW),Fast (8–49kW)
5512,279455,52.304711,-4.161092,22.0,2,Level 2 : Medium (Over 2kW),Fast (8–49kW)
5513,279454,51.55934326946843,-1.7831466183342854,7.0,2,Level 2 : Medium (Over 2kW),Slow (3–8kW)
5514,279454,51.55934326946843,-1.7831466183342854,7.0,2,Level 2 : Medium (Over 2kW),Slow (3–8kW)
5515,279441,53.314519900813366,-3.4995496919862603,50.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
5516,279441,53.314519900813366,-3.4995496919862603,50.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
5517,279441,53.314519900813366,-3.4995496919862603,22.0,1,Level 2 : Medium (Over 2kW),Fast (8–49kW)
5518,279437,53.2684939443907,-2.80240117260431,22.0,1,Level 2 : Medium (Over 2kW),Fast (8–49kW)
5519,279437,53.2684939443907,-2.80240117260431,22.0,1,Level 2 : Medium (Over 2kW),Fast (8–49kW)
5520,279437,53.2684939443907,-2.80240117260431,22.0,1,Level 2 : Medium (Over 2kW),Fast (8–49kW)
5521,279437,53.2684939443907,-2.80240117260431,350.0,12,Level 3:  High (Over 40kW),Ultra-rapid (150kW+)
5522,279435,53.202909,-0.582676,180.0,1,Level 3:  High (Over 40kW),Ultra-rapid (150kW+)
5523,279435,53.202909,-0.582676,80.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
5524,279435,53.202909,-0.582676,180.0,1,Level 3:  High (Over 40kW),Ultra-rapid (150kW+)
5525,279435,53.202909,-0.582676,180.0,1,Level 3:  High (Over 40kW),Ultra-rapid (150kW+)
5526,279435,53.202909,-0.582676,180.0,1,Level 3:  High (Over 40kW),Ultra-rapid (150kW+)
5527,279435,53.202909,-0.582676,180.0,1,Level 3:  High (Over 40kW),Ultra-rapid (150kW+)
5528,279435,53.202909,-0.582676,180.0,1,Level 3:  High (Over 40kW),Ultra-rapid (150kW+)
