StationID,Latitude,Longitude,Title,TotalCapacity_kW,StationType,Bands,Below 3kW,Fast (8–49kW),Rapid (50–149kW),Slow (3–8kW),Ultra-rapid (150kW+)
107654,53.2278774290065,-2.8850441292343,0.0,182.0,Fast site,Slow (3–8kW),0.0,0.0,0.0,182.0,0.0
75496,51.470027,-0.452521,0.0,182.0,Fast site,Slow (3–8kW),0.0,0.0,0.0,182.0,0.0
470664,55.00561267210057,-7.324701032553548,0.0,176.0,Fast site,Fast (8–49kW),0.0,176.0,0.0,0.0,0.0
300677,51.75505564122571,-1.2597127000284445,0.0,176.0,Fast site,Fast (8–49kW),0.0,176.0,0.0,0.0,0.0
286997,52.5705,1.1119,0.0,176.0,Fast site,Fast (8–49kW),0.0,176.0,0.0,0.0,0.0
279978,51.937436119194984,1.2824971953971271,0.0,176.0,Fast site,Fast (8–49kW),0.0,176.0,0.0,0.0,0.0
279148,51.50783246,0.037983805,0.0,176.0,Fast site,Fast (8–49kW),0.0,176.0,0.0,0.0,0.0
279067,50.630892,-2.462162,0.0,176.0,Fast site,Fast (8–49kW),0.0,176.0,0.0,0.0,0.0
255618,54.595833,-5.937272,0.0,176.0,Fast site,Fast (8–49kW),0.0,176.0,0.0,0.0,0.0
235499,51.274542331336534,-1.102684008288179,0.0,176.0,Fast site,Fast (8–49kW),0.0,176.0,0.0,0.0,0.0
214791,54.507107,-6.053091,0.0,176.0,Fast site,Fast (8–49kW),0.0,176.0,0.0,0.0,0.0
214655,52.726379,-1.382576,0.0,176.0,Fast site,Fast (8–49kW),0.0,176.0,0.0,0.0,0.0
209944,51.6714451180448,-1.2789558163799484,0.0,176.0,Fast site,Fast (8–49kW),0.0,176.0,0.0,0.0,0.0
204441,53.25288,-1.42872,0.0,176.0,Fast site,Fast (8–49kW),0.0,176.0,0.0,0.0,0.0
195177,52.5,-2.13,0.0,176.0,Fast site,Fast (8–49kW),0.0,176.0,0.0,0.0,0.0
146495,51.444669707815876,0.34753915495923593,0.0,176.0,Fast site,Fast (8–49kW),0.0,176.0,0.0,0.0,0.0
134166,56.1148414954123,-3.93658705522535,0.0,176.0,Fast site,Fast (8–49kW),0.0,176.0,0.0,0.0,0.0
131626,53.1073,-1.3121,0.0,176.0,Fast site,Fast (8–49kW),0.0,176.0,0.0,0.0,0.0
103233,51.491497,-0.149469,0.0,176.0,Fast site,Fast (8–49kW),0.0,176.0,0.0,0.0,0.0
100631,52.566113,-2.007402,0.0,176.0,Fast site,Fast (8–49kW),0.0,176.0,0.0,0.0,0.0
73128,53.474721689789845,-2.2966624330467766,0.0,176.0,Fast site,Fast (8–49kW),0.0,176.0,0.0,0.0,0.0
48651,54.877617,-6.346985,0.0,176.0,Fast site,Fast (8–49kW),0.0,176.0,0.0,0.0,0.0
19357,51.5754764,0.0899913,0.0,176.0,Fast site,Fast (8–49kW),0.0,176.0,0.0,0.0,0.0
19356,51.64155215,0.0551332819181989,0.0,176.0,Fast site,Fast (8–49kW),0.0,176.0,0.0,0.0,0.0
195273,52.477447,-1.891589,0.0,172.0,Fast site,Fast (8–49kW);Slow (3–8kW),0.0,88.0,0.0,84.0,0.0
90907,52.301276,-0.622344,0.0,172.0,Fast site,Fast (8–49kW);Slow (3–8kW),0.0,88.0,0.0,84.0,0.0
258954,53.13913538,-2.33746566,0.0,171.0,Fast site,Fast (8–49kW),0.0,171.0,0.0,0.0,0.0
258898,51.553404,-0.260249,0.0,171.0,Fast site,Fast (8–49kW),0.0,171.0,0.0,0.0,0.0
100060,51.485455,-0.638891,0.0,170.0,Fast site,Fast (8–49kW);Slow (3–8kW),0.0,44.0,0.0,126.0,0.0
209848,52.039852610389126,-1.5541145754069807,0.0,168.0,Fast site,Slow (3–8kW),0.0,0.0,0.0,168.0,0.0
195301,52.51013362,-1.8118841,0.0,168.0,Fast site,Slow (3–8kW),0.0,0.0,0.0,168.0,0.0
135368,52.27445938674086,-1.5694943549418667,0.0,168.0,Fast site,Slow (3–8kW),0.0,0.0,0.0,168.0,0.0
100432,51.504414,-0.426767,0.0,168.0,Fast site,Slow (3–8kW),0.0,0.0,0.0,168.0,0.0
47528,55.86347,-4.34404,0.0,168.0,Fast site,Slow (3–8kW),0.0,0.0,0.0,168.0,0.0
304025,53.21830856073538,-0.6526154327368374,0.0,165.0,Fast site,Fast (8–49kW),0.0,165.0,0.0,0.0,0.0
258835,51.269816,-2.923372,0.0,164.0,Fast site,Fast (8–49kW),0.0,164.0,0.0,0.0,0.0
95144,51.520669,-0.016522,0.0,161.0,Fast site,Slow (3–8kW),0.0,0.0,0.0,161.0,0.0
238321,50.71971047107479,-3.5101483152862443,0.0,160.0,Fast site,Fast (8–49kW),0.0,160.0,0.0,0.0,0.0
126207,51.539523,-0.905884,0.0,154.0,Fast site,Fast (8–49kW),0.0,154.0,0.0,0.0,0.0
125805,51.37159,-0.47461,0.0,154.0,Fast site,Fast (8–49kW),0.0,154.0,0.0,0.0,0.0
274094,51.56839287322222,-1.7812203773625015,0.0,148.0,Fast site,Slow (3–8kW),0.0,0.0,0.0,148.0,0.0
260395,51.36623941396584,-0.6831663835816446,0.0,148.0,Fast site,Fast (8–49kW);Rapid (50–149kW),0.0,88.0,60.0,0.0,0.0
146456,51.497245,-0.069906,0.0,148.0,Fast site,Slow (3–8kW),0.0,0.0,0.0,148.0,0.0
88936,51.4773420958,-0.022922090917,0.0,148.0,Fast site,Slow (3–8kW),0.0,0.0,0.0,148.0,0.0
288341,52.364353,-0.696066,0.0,147.0,Fast site,Slow (3–8kW),0.0,0.0,0.0,147.0,0.0
126219,51.591342,-0.01368,0.0,146.0,Fast site,Fast (8–49kW);Slow (3–8kW),0.0,132.0,0.0,14.0,0.0
19009,51.6676643,-0.561420099999964,0.0,146.0,Fast site,Fast (8–49kW);Slow (3–8kW),0.0,132.0,0.0,14.0,0.0
264477,51.202034,-2.645357,0.0,144.0,Fast site,Fast (8–49kW),0.0,144.0,0.0,0.0,0.0
195305,52.476222,-1.895971,0.0,142.0,Fast site,Fast (8–49kW);Slow (3–8kW),0.0,44.0,0.0,98.0,0.0
195259,51.55592993,-0.27714876,0.0,140.0,Fast site,Slow (3–8kW),0.0,0.0,0.0,140.0,0.0
195187,50.8825127,-1.2985628,0.0,140.0,Fast site,Slow (3–8kW),0.0,0.0,0.0,140.0,0.0
70775,51.542294,-0.49045,0.0,140.0,Fast site,Slow (3–8kW),0.0,0.0,0.0,140.0,0.0
114612,52.862037,-0.629944,0.0,135.0,Fast site,Fast (8–49kW),0.0,135.0,0.0,0.0,0.0
171003,53.4663273,-2.9311044,0.0,133.0,Fast site,Slow (3–8kW),0.0,0.0,0.0,133.0,0.0
134248,55.581223033808016,-1.6554254935033441,0.0,133.0,Fast site,Fast (8–49kW);Rapid (50–149kW),0.0,83.0,50.0,0.0,0.0
