ConnectorID,StationID,Latitude,Longitude,Power_kW,DfT_Band,Level,ConnectionType,CurrentType
conn_17866,26838,54.368550347799186,-6.217935696077632,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_17864,24043,54.426012,-2.961684,50.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
conn_17865,24043,54.426012,-2.961684,50.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
conn_17863,24043,54.426012,-2.961684,43.0,Fast (8–49kW),Level 3:  High (Over 40kW),,
conn_17861,25392,54.48694419339179,-6.745024812051497,50.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
conn_17862,25392,54.48694419339179,-6.745024812051497,50.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
conn_17860,25392,54.48694419339179,-6.745024812051497,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_17857,25391,54.491826041335685,-6.061322919724148,50.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
conn_17858,25391,54.491826041335685,-6.061322919724148,50.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
conn_17859,25391,54.491826041335685,-6.061322919724148,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_17855,1944,54.522939,-1.55481,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_17856,1944,54.522939,-1.55481,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_17853,7222,54.52347,-1.552502,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_17854,7222,54.52347,-1.552502,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_17851,1943,54.52362,-1.548802,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_17852,1943,54.52362,-1.548802,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_17849,1942,54.52591,-1.55921,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_17850,1942,54.52591,-1.55921,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_17847,1941,54.52671,-1.55613,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_17848,1941,54.52671,-1.55613,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_17845,1940,54.528479,-1.556412,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_17846,1940,54.528479,-1.556412,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_17843,1939,54.533676,-1.05242,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_17844,1939,54.533676,-1.05242,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_17842,11169,54.542553,-1.323233,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_17839,25390,54.542879,-1.202966,50.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
conn_17840,25390,54.542879,-1.202966,50.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
conn_17841,25390,54.542879,-1.202966,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_17837,7221,54.544331,-1.318501,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_17838,7221,54.544331,-1.318501,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_17836,3945,54.545391,-2.949612,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_17835,3945,54.545391,-2.949612,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_17834,26181,54.55030028245994,-3.5872797522054043,50.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
conn_17833,26181,54.55030028245994,-3.5872797522054043,43.0,Fast (8–49kW),Level 3:  High (Over 40kW),,
conn_17830,25148,54.560536,-1.202606,60.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
conn_17831,25148,54.560536,-1.202606,50.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
conn_17832,25148,54.560536,-1.202606,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_17829,22235,54.562163,-1.29971,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_17828,11168,54.563116,-1.296596,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_17827,11167,54.566662,-1.310634,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_17826,3944,54.570789,-1.31355,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_17825,3944,54.570789,-1.31355,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_17821,23429,54.577258,-5.882369,50.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
conn_17822,23429,54.577258,-5.882369,50.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
conn_17823,23429,54.577258,-5.882369,50.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
conn_17824,23429,54.577258,-5.882369,50.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
conn_17819,1938,54.57771,-1.233122,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_17820,1938,54.57771,-1.233122,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_17817,7220,54.578798,-1.239281,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_17818,7220,54.578798,-1.239281,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_17815,10100,54.591213,-1.017523,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_17816,10100,54.591213,-1.017523,3.7,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_17807,146,54.595833,-5.937272,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_17808,146,54.595833,-5.937272,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
