StationID,Power_kW,Quantity,Capacity_kW,DfT_Band,Level,ConnectionType,CurrentType
9814,50.0,2,100.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
9814,3.0,2,6.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9815,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9815,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9816,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9816,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9897,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9897,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9898,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9898,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9902,7.0,2,14.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9924,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9924,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
10416,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
10416,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
10417,7.0,2,14.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
10420,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
10420,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
10421,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
10421,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
10421,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
10483,3.0,2,6.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
10518,11.0,3,33.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
10519,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
10519,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
10520,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
10520,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
10521,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
10522,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
10523,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11266,22.0,2,44.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
11704,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11704,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11708,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11708,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11711,7.4,1,7.4,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11711,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11712,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11712,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11713,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11713,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11731,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11731,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11732,11.0,2,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
11732,7.0,2,14.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11732,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11732,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11739,7.4,1,7.4,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11739,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11741,3.7,1,3.7,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11742,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11742,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11743,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11743,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11745,22.0,1,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
11745,22.0,1,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
11761,11.0,2,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
11761,11.0,2,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
11765,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11765,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11766,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11766,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11770,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11770,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11771,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11771,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11772,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11773,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11773,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11776,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11776,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11796,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11796,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11812,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11812,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11818,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11818,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11824,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11852,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11852,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11853,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11853,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11879,22.2,1,22.2,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
11879,11.1,1,11.1,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
11881,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11881,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11882,4.0,1,4.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11882,4.0,1,4.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11882,4.0,1,4.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11883,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11884,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11884,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11885,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11885,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11886,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11886,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11887,4.0,1,4.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11887,4.0,1,4.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11887,4.0,1,4.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11887,4.0,1,4.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11888,7.0,2,14.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11888,3.0,2,6.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11892,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11892,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11894,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11894,4.0,3,12.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11895,4.0,2,8.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11895,4.0,2,8.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11895,3.0,2,6.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11896,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11896,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11897,7.0,3,21.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11897,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11900,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11900,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11904,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
11904,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
13045,7.7,1,7.7,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
13063,7.0,2,14.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
13063,4.0,2,8.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
13063,3.0,2,6.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
13064,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
13064,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
13084,7.0,2,14.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
13087,7.0,6,42.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
13096,3.0,2,6.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
13102,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
13102,4.0,1,4.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
13111,43.0,3,129.0,Fast (8–49kW),Level 3:  High (Over 40kW),,
13111,50.0,3,150.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
13111,50.0,3,150.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
13111,7.0,8,56.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
